Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust,Normalised_Power,Normalised_Thrust,F_objective,
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,1.09555,1.07148,802.575,859.95,88.4958,0.185471177,0.063366293,0.131609828,784.72857
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,1.2587,1.30081,802.709,1044.17,289.085,0.732588875,0.710957373,0.128275108,798.44775
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,1.09493,1.07712,802.544,864.43,98.8997,0.198776395,0.096954705,0.116364896,780.365255
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,1.10529,1.08963,802.555,874.49,123.794,0.228653738,0.177324569,0.077927854,769.2651
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,1.09217,1.05416,802.557,846.03,95.2069,0.144129963,0.085032706,0.071852164,765.104135
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,1.15013,1.14285,802.585,917.24,171.791,0.355617594,0.332280215,0.073179411,771.21765
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,1.114,1.09172,802.571,876.18,116.627,0.233672894,0.154186308,0.102614532,777.04705
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,1.0867,1.05997,802.498,850.62,118.757,0.157761872,0.161062894,0.020858412,749.67655
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,1.10798,1.0917,802.576,876.17,113.074,0.233643194,0.142715645,0.112334896,780.0571
53,0.02,0.216,0.65,0.0135,0.273,0.613,0.021,0.33,0.667,1.17625,1.18674,802.619,952.5,210.825,0.460336788,0.458299314,0.070782372,773.29875
54,0.014,0.184,0.61,0.014,0.179,0.661,0.0105,0.363,0.675,1.05957,1.01935,802.467,817.99,85.6637,0.060853554,0.054223015,0.014763991,745.175855
55,0.024,0.28,0.652,0.024,0.242,0.62,0.015,0.282,0.611,1.1845,1.1979,802.56,961.35,198.83,0.486620534,0.419574123,0.129982529,792.3445
56,0.0247,0.2774,0.6478,0.0234,0.223,0.6198,0.0136,0.3039,0.6072,1.1715,1.1761,802.59,943.92,194.16,0.43485492,0.404497288,0.091032225,778.884
57,0.015,0.3621,0.6696,0.0168,0.2687,0.6305,0.0228,0.338,0.6233,1.1147,1.1021,802.54,884.49,147.41,0.258352885,0.253567512,0.0428205,759.1915
58,0.0164,0.2159,0.6371,0.0204,0.3447,0.6458,0.0202,0.2621,0.628,1.1348,1.1291,802.58,906.19,147.4,0.322800036,0.253535227,0.107295092,780.9
59,0.0198,0.215,0.6495,0.0136,0.2738,0.6124,0.0208,0.3317,0.6641,1.1669,1.1658,802.61,935.65,190.13,0.410293725,0.391486657,0.077530066,774.0395
60,0.0216,0.282,0.6165,0.0217,0.2372,0.6494,0.0143,0.3369,0.6705,1.2994,1.3555,802.76,1088.1,341.73,0.86305723,0.880918828,0.114276226,797.6295
61,0.0189,0.3422,0.6527,0.0235,0.2656,0.6428,0.0148,0.2072,0.6412,1.2256,1.2484,802.73,1002.1,252.48,0.607644561,0.592780165,0.10378142,787.492
62,0.013,0.3053,0.6741,0.0211,0.2598,0.6507,0.015,0.2914,0.6247,1.1704,1.1798,802.62,946.92,192.78,0.443764664,0.400042034,0.103728935,783.057
63,0.0178,0.277,0.6108,0.0151,0.298,0.6738,0.0206,0.3757,0.6628,1.2374,1.2685,802.71,1018.2,253.86,0.655460188,0.597235418,0.147810083,802.419
64,0.0214,0.2811,0.6164,0.0217,0.2369,0.6497,0.0144,0.3366,0.6704,1.2917,1.3436,802.75,1078.6,324.94,0.83484304,0.826713247,0.13213678,802.401
65,0.0217,0.2803,0.6162,0.0215,0.2385,0.6496,0.0143,0.3359,0.6706,1.3142,1.3715,802.77,1101.09,346.79,0.901636423,0.897254757,0.13896988,806.3185
66,0.0216,0.2813,0.6164,0.0213,0.2372,0.6491,0.0142,0.3361,0.6705,1.3303,1.3933,802.8,1118.5,366.91,0.953342639,0.962211058,0.13546324,806.6265
67,0.0216,0.2826,0.6166,0.0211,0.2385,0.6485,0.0143,0.3364,0.6707,1.3139,1.3723,802.78,1101.7,339.02,0.903448071,0.872169744,0.162103789,813.533
68,0.0216,0.2802,0.6162,0.0212,0.2356,0.6493,0.014,0.3367,0.6708,1.2757,1.3224,802.73,1061.5,302.49,0.784057498,0.75423467,0.142958028,804.3835
